Release,Perf,Quantile,Value
PyAF-1.0,L1,0,8.2372
PyAF-1.0,L1,10,145.3771
PyAF-1.0,L1,20,239.3166
PyAF-1.0,L1,30,352.74
PyAF-1.0,L1,40,458.2367
PyAF-1.0,L1,50,592.062
PyAF-1.0,L1,60,769.0175
PyAF-1.0,L1,70,966.4713
PyAF-1.0,L1,80,1301.602
PyAF-1.0,L1,90,1984.0641
PyAF-1.0,L1,100,47723.2707
PyAF-1.0,L2,0,10.2902
PyAF-1.0,L2,10,169.5923
PyAF-1.0,L2,20,286.8338
PyAF-1.0,L2,30,423.5939
PyAF-1.0,L2,40,551.4254
PyAF-1.0,L2,50,706.7766
PyAF-1.0,L2,60,904.5466
PyAF-1.0,L2,70,1146.6434
PyAF-1.0,L2,80,1516.3702
PyAF-1.0,L2,90,2302.4791
PyAF-1.0,L2,100,54922.9623
PyAF-1.0,MAPE,0,0.0014
PyAF-1.0,MAPE,10,0.0252
PyAF-1.0,MAPE,20,0.0445
PyAF-1.0,MAPE,30,0.065
PyAF-1.0,MAPE,40,0.0904
PyAF-1.0,MAPE,50,0.1224
PyAF-1.0,MAPE,60,0.1669
PyAF-1.0,MAPE,70,0.234
PyAF-1.0,MAPE,80,0.3607
PyAF-1.0,MAPE,90,0.5861
PyAF-1.0,MAPE,100,11.0712
PyAF-1.0,SMAPE,0,0.0014
PyAF-1.0,SMAPE,10,0.0256
PyAF-1.0,SMAPE,20,0.0442
PyAF-1.0,SMAPE,30,0.0657
PyAF-1.0,SMAPE,40,0.0912
PyAF-1.0,SMAPE,50,0.1188
PyAF-1.0,SMAPE,60,0.1619
PyAF-1.0,SMAPE,70,0.2278
PyAF-1.0,SMAPE,80,0.3324
PyAF-1.0,SMAPE,90,0.5429
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,MASE,0,0.1284
PyAF-1.0,MASE,10,0.6911
PyAF-1.0,MASE,20,0.8396
PyAF-1.0,MASE,30,0.9966
PyAF-1.0,MASE,40,1.255
PyAF-1.0,MASE,50,1.6952
PyAF-1.0,MASE,60,2.2982
PyAF-1.0,MASE,70,3.216
PyAF-1.0,MASE,80,4.8754
PyAF-1.0,MASE,90,8.6567
PyAF-1.0,MASE,100,123.1582
PyAF-1.0,TrainingTime,0,3.97
PyAF-1.0,TrainingTime,10,5.19
PyAF-1.0,TrainingTime,20,5.67
PyAF-1.0,TrainingTime,30,5.96
PyAF-1.0,TrainingTime,40,6.26
PyAF-1.0,TrainingTime,50,6.53
PyAF-1.0,TrainingTime,60,6.78
PyAF-1.0,TrainingTime,70,7.06
PyAF-1.0,TrainingTime,80,7.35
PyAF-1.0,TrainingTime,90,7.773
PyAF-1.0,TrainingTime,100,8.84
PyAF-2.0,L1,0,8.2372
PyAF-2.0,L1,10,145.4614
PyAF-2.0,L1,20,238.2407
PyAF-2.0,L1,30,352.7457
PyAF-2.0,L1,40,459.2441
PyAF-2.0,L1,50,592.062
PyAF-2.0,L1,60,768.7912
PyAF-2.0,L1,70,964.1612
PyAF-2.0,L1,80,1301.602
PyAF-2.0,L1,90,1986.1381
PyAF-2.0,L1,100,47723.2707
PyAF-2.0,L2,0,10.2902
PyAF-2.0,L2,10,170.0567
PyAF-2.0,L2,20,285.8235
PyAF-2.0,L2,30,425.2424
PyAF-2.0,L2,40,550.4221
PyAF-2.0,L2,50,706.7766
PyAF-2.0,L2,60,903.189
PyAF-2.0,L2,70,1144.9505
PyAF-2.0,L2,80,1517.7002
PyAF-2.0,L2,90,2305.1439
PyAF-2.0,L2,100,54922.9623
PyAF-2.0,MAPE,0,0.0014
PyAF-2.0,MAPE,10,0.0253
PyAF-2.0,MAPE,20,0.0446
PyAF-2.0,MAPE,30,0.0652
PyAF-2.0,MAPE,40,0.0904
PyAF-2.0,MAPE,50,0.1222
PyAF-2.0,MAPE,60,0.1665
PyAF-2.0,MAPE,70,0.234
PyAF-2.0,MAPE,80,0.3607
PyAF-2.0,MAPE,90,0.5861
PyAF-2.0,MAPE,100,11.0712
PyAF-2.0,SMAPE,0,0.0014
PyAF-2.0,SMAPE,10,0.0257
PyAF-2.0,SMAPE,20,0.0442
PyAF-2.0,SMAPE,30,0.0658
PyAF-2.0,SMAPE,40,0.091
PyAF-2.0,SMAPE,50,0.1186
PyAF-2.0,SMAPE,60,0.1614
PyAF-2.0,SMAPE,70,0.2278
PyAF-2.0,SMAPE,80,0.3324
PyAF-2.0,SMAPE,90,0.5454
PyAF-2.0,SMAPE,100,2.0
PyAF-2.0,MASE,0,0.1284
PyAF-2.0,MASE,10,0.6911
PyAF-2.0,MASE,20,0.8396
PyAF-2.0,MASE,30,0.9966
PyAF-2.0,MASE,40,1.255
PyAF-2.0,MASE,50,1.6952
PyAF-2.0,MASE,60,2.299
PyAF-2.0,MASE,70,3.216
PyAF-2.0,MASE,80,4.825
PyAF-2.0,MASE,90,8.6704
PyAF-2.0,MASE,100,123.1582
PyAF-2.0,TrainingTime,0,4.24
PyAF-2.0,TrainingTime,10,4.77
PyAF-2.0,TrainingTime,20,5.03
PyAF-2.0,TrainingTime,30,5.23
PyAF-2.0,TrainingTime,40,5.38
PyAF-2.0,TrainingTime,50,5.64
PyAF-2.0,TrainingTime,60,5.85
PyAF-2.0,TrainingTime,70,5.99
PyAF-2.0,TrainingTime,80,6.13
PyAF-2.0,TrainingTime,90,6.35
PyAF-2.0,TrainingTime,100,8.38
PyAF-3.0,L1,0,8.2372
PyAF-3.0,L1,10,145.4614
PyAF-3.0,L1,20,238.2407
PyAF-3.0,L1,30,352.7457
PyAF-3.0,L1,40,459.2441
