Release,Perf,Quantile,Value
PyAF-1.0,L1,0,0.0505
PyAF-1.0,L1,10,1.4935
PyAF-1.0,L1,20,9.3017
PyAF-1.0,L1,30,17.1704
PyAF-1.0,L1,40,25.2773
PyAF-1.0,L1,50,39.1159
PyAF-1.0,L1,60,72.7613
PyAF-1.0,L1,70,1422.5995
PyAF-1.0,L1,80,43594.9615
PyAF-1.0,L1,90,669000.1738
PyAF-1.0,L1,100,347164830.2134
PyAF-1.0,L2,0,0.0576
PyAF-1.0,L2,10,1.7234
PyAF-1.0,L2,20,11.7291
PyAF-1.0,L2,30,20.3957
PyAF-1.0,L2,40,30.6258
PyAF-1.0,L2,50,47.045
PyAF-1.0,L2,60,86.3266
PyAF-1.0,L2,70,1635.6032
PyAF-1.0,L2,80,57478.107
PyAF-1.0,L2,90,785289.1624
PyAF-1.0,L2,100,463144605.0049
PyAF-1.0,MAPE,0,0.007
PyAF-1.0,MAPE,10,0.0647
PyAF-1.0,MAPE,20,0.0986
PyAF-1.0,MAPE,30,0.1305
PyAF-1.0,MAPE,40,0.1605
PyAF-1.0,MAPE,50,0.197
PyAF-1.0,MAPE,60,0.2351
PyAF-1.0,MAPE,70,0.2882
PyAF-1.0,MAPE,80,0.3749
PyAF-1.0,MAPE,90,0.5223
PyAF-1.0,MAPE,100,32.3146
PyAF-1.0,SMAPE,0,0.0071
PyAF-1.0,SMAPE,10,0.0638
PyAF-1.0,SMAPE,20,0.0978
PyAF-1.0,SMAPE,30,0.1314
PyAF-1.0,SMAPE,40,0.1661
PyAF-1.0,SMAPE,50,0.2037
PyAF-1.0,SMAPE,60,0.2486
PyAF-1.0,SMAPE,70,0.3237
PyAF-1.0,SMAPE,80,0.4094
PyAF-1.0,SMAPE,90,0.615
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,MASE,0,0.0818
PyAF-1.0,MASE,10,0.8892
PyAF-1.0,MASE,20,1.2259
PyAF-1.0,MASE,30,1.5212
PyAF-1.0,MASE,40,1.8341
PyAF-1.0,MASE,50,2.1868
PyAF-1.0,MASE,60,2.6955
PyAF-1.0,MASE,70,3.316
PyAF-1.0,MASE,80,4.3997
PyAF-1.0,MASE,90,6.0574
PyAF-1.0,MASE,100,55939830692480.9
PyAF-1.0,TrainingTime,0,3.01
PyAF-1.0,TrainingTime,10,4.459
PyAF-1.0,TrainingTime,20,5.07
PyAF-1.0,TrainingTime,30,5.63
PyAF-1.0,TrainingTime,40,5.98
PyAF-1.0,TrainingTime,50,6.525
PyAF-1.0,TrainingTime,60,7.544
PyAF-1.0,TrainingTime,70,8.25
PyAF-1.0,TrainingTime,80,9.03
