Release,Perf,Quantile,Value
PyAF-1.0,L1,0,0.0
PyAF-1.0,L1,10,0.0122
PyAF-1.0,L1,20,0.0161
PyAF-1.0,L1,30,0.0204
PyAF-1.0,L1,40,0.0254
PyAF-1.0,L1,50,0.0323
PyAF-1.0,L1,60,0.0408
PyAF-1.0,L1,70,0.0525
PyAF-1.0,L1,80,0.073
PyAF-1.0,L1,90,0.1121
PyAF-1.0,L1,100,751.7115
PyAF-1.0,L2,0,0.0
PyAF-1.0,L2,10,0.016
PyAF-1.0,L2,20,0.021
PyAF-1.0,L2,30,0.026
PyAF-1.0,L2,40,0.0329
PyAF-1.0,L2,50,0.0405
PyAF-1.0,L2,60,0.0508
PyAF-1.0,L2,70,0.0641
PyAF-1.0,L2,80,0.0879
PyAF-1.0,L2,90,0.1384
PyAF-1.0,L2,100,875.4214
PyAF-1.0,MAPE,0,0.0
PyAF-1.0,MAPE,10,0.9518
PyAF-1.0,MAPE,20,0.9787
PyAF-1.0,MAPE,30,0.9894
PyAF-1.0,MAPE,40,1.0
PyAF-1.0,MAPE,50,1.0
PyAF-1.0,MAPE,60,1.0
PyAF-1.0,MAPE,70,1.0
PyAF-1.0,MAPE,80,1.001
PyAF-1.0,MAPE,90,1.0761
PyAF-1.0,MAPE,100,145695.6529
PyAF-1.0,SMAPE,0,0.0
PyAF-1.0,SMAPE,10,1.6103
PyAF-1.0,SMAPE,20,1.8165
PyAF-1.0,SMAPE,30,1.9168
PyAF-1.0,SMAPE,40,1.9574
PyAF-1.0,SMAPE,50,1.9787
PyAF-1.0,SMAPE,60,2.0
PyAF-1.0,SMAPE,70,2.0
PyAF-1.0,SMAPE,80,2.0
PyAF-1.0,SMAPE,90,2.0
PyAF-1.0,SMAPE,100,2.0
PyAF-1.0,MASE,0,0.0
PyAF-1.0,MASE,10,0.5936
PyAF-1.0,MASE,20,0.6294
PyAF-1.0,MASE,30,0.6563
PyAF-1.0,MASE,40,0.6766
PyAF-1.0,MASE,50,0.6948
PyAF-1.0,MASE,60,0.7186
PyAF-1.0,MASE,70,0.7425
PyAF-1.0,MASE,80,0.7826
PyAF-1.0,MASE,90,0.886
PyAF-1.0,MASE,100,155.8889
PyAF-1.0,TrainingTime,0,5.13
PyAF-1.0,TrainingTime,10,8.13
PyAF-1.0,TrainingTime,20,9.17
PyAF-1.0,TrainingTime,30,10.0
PyAF-1.0,TrainingTime,40,10.756
PyAF-1.0,TrainingTime,50,11.68
PyAF-1.0,TrainingTime,60,12.81
PyAF-1.0,TrainingTime,70,14.31
PyAF-1.0,TrainingTime,80,16.86
PyAF-1.0,TrainingTime,90,19.083
PyAF-1.0,TrainingTime,100,43.38
PyAF-2.0,L1,0,0.0
PyAF-2.0,L1,10,0.0122
PyAF-2.0,L1,20,0.0161
PyAF-2.0,L1,30,0.0204
PyAF-2.0,L1,40,0.0254
PyAF-2.0,L1,50,0.0323
PyAF-2.0,L1,60,0.0409
PyAF-2.0,L1,70,0.0526
PyAF-2.0,L1,80,0.0731
PyAF-2.0,L1,90,0.1121
PyAF-2.0,L1,100,751.7115
PyAF-2.0,L2,0,0.0
PyAF-2.0,L2,10,0.016
PyAF-2.0,L2,20,0.021
PyAF-2.0,L2,30,0.026
PyAF-2.0,L2,40,0.0329
PyAF-2.0,L2,50,0.0405
PyAF-2.0,L2,60,0.0508
PyAF-2.0,L2,70,0.0641
PyAF-2.0,L2,80,0.0879
PyAF-2.0,L2,90,0.1392
PyAF-2.0,L2,100,875.4214
PyAF-2.0,MAPE,0,0.0
PyAF-2.0,MAPE,10,0.9518
PyAF-2.0,MAPE,20,0.9787
PyAF-2.0,MAPE,30,0.9894
PyAF-2.0,MAPE,40,1.0
PyAF-2.0,MAPE,50,1.0
PyAF-2.0,MAPE,60,1.0
PyAF-2.0,MAPE,70,1.0
PyAF-2.0,MAPE,80,1.001
PyAF-2.0,MAPE,90,1.0761
PyAF-2.0,MAPE,100,145695.6529
PyAF-2.0,SMAPE,0,0.0
PyAF-2.0,SMAPE,10,1.6103
PyAF-2.0,SMAPE,20,1.8165
PyAF-2.0,SMAPE,30,1.9168
PyAF-2.0,SMAPE,40,1.9574
PyAF-2.0,SMAPE,50,1.9787
PyAF-2.0,SMAPE,60,2.0
PyAF-2.0,SMAPE,70,2.0
PyAF-2.0,SMAPE,80,2.0
PyAF-2.0,SMAPE,90,2.0
PyAF-2.0,SMAPE,100,2.0
PyAF-2.0,MASE,0,0.0
PyAF-2.0,MASE,10,0.5936
PyAF-2.0,MASE,20,0.6299
PyAF-2.0,MASE,30,0.6568
PyAF-2.0,MASE,40,0.6767
PyAF-2.0,MASE,50,0.695
PyAF-2.0,MASE,60,0.7186
PyAF-2.0,MASE,70,0.7425
PyAF-2.0,MASE,80,0.7826
PyAF-2.0,MASE,90,0.8893
PyAF-2.0,MASE,100,155.8889
PyAF-2.0,TrainingTime,0,5.27
PyAF-2.0,TrainingTime,10,5.75
PyAF-2.0,TrainingTime,20,6.268
PyAF-2.0,TrainingTime,30,7.63
PyAF-2.0,TrainingTime,40,7.97
PyAF-2.0,TrainingTime,50,8.15
PyAF-2.0,TrainingTime,60,8.53
PyAF-2.0,TrainingTime,70,10.633
PyAF-2.0,TrainingTime,80,11.99
PyAF-2.0,TrainingTime,90,12.821
PyAF-2.0,TrainingTime,100,29.33
PyAF-3.0,L1,0,0.0
PyAF-3.0,L1,10,0.0122
PyAF-3.0,L1,20,0.0161
PyAF-3.0,L1,30,0.0204
PyAF-3.0,L1,40,0.0254
PyAF-3.0,L1,50,0.0323
PyAF-3.0,L1,60,0.0409
PyAF-3.0,L1,70,0.0526
PyAF-3.0,L1,80,0.0731
PyAF-3.0,L1,90,0.1121
PyAF-3.0,L1,100,751.7115
PyAF-3.0,L2,0,0.0
PyAF-3.0,L2,10,0.016
PyAF-3.0,L2,20,0.021
PyAF-3.0,L2,30,0.026
PyAF-3.0,L2,40,0.0329
PyAF-3.0,L2,50,0.0405
PyAF-3.0,L2,60,0.0508
PyAF-3.0,L2,70,0.0641
PyAF-3.0,L2,80,0.0879
PyAF-3.0,L2,90,0.1392
PyAF-3.0,L2,100,875.4214
PyAF-3.0,MAPE,0,0.0
PyAF-3.0,MAPE,10,0.9518
PyAF-3.0,MAPE,20,0.9787
PyAF-3.0,MAPE,30,0.9894
PyAF-3.0,MAPE,40,1.0
PyAF-3.0,MAPE,50,1.0
PyAF-3.0,MAPE,60,1.0
PyAF-3.0,MAPE,70,1.0
PyAF-3.0,MAPE,80,1.001
PyAF-3.0,MAPE,90,1.0761
PyAF-3.0,MAPE,100,145695.6529
PyAF-3.0,SMAPE,0,0.0
PyAF-3.0,SMAPE,10,1.6103
PyAF-3.0,SMAPE,20,1.8165
PyAF-3.0,SMAPE,30,1.9168
PyAF-3.0,SMAPE,40,1.9574
PyAF-3.0,SMAPE,50,1.9787
PyAF-3.0,SMAPE,60,2.0
PyAF-3.0,SMAPE,70,2.0
PyAF-3.0,SMAPE,80,2.0
PyAF-3.0,SMAPE,90,2.0
PyAF-3.0,SMAPE,100,2.0
PyAF-3.0,MASE,0,0.0
PyAF-3.0,MASE,10,0.5936
PyAF-3.0,MASE,20,0.6299
PyAF-3.0,MASE,30,0.6568
PyAF-3.0,MASE,40,0.6767
PyAF-3.0,MASE,50,0.695
PyAF-3.0,MASE,60,0.7186
PyAF-3.0,MASE,70,0.7425
PyAF-3.0,MASE,80,0.7826
PyAF-3.0,MASE,90,0.8893
PyAF-3.0,MASE,100,155.8889
PyAF-3.0,TrainingTime,0,5.27
PyAF-3.0,TrainingTime,10,5.75
PyAF-3.0,TrainingTime,20,6.268
PyAF-3.0,TrainingTime,30,7.63
PyAF-3.0,TrainingTime,40,7.97
PyAF-3.0,TrainingTime,50,8.15
PyAF-3.0,TrainingTime,60,8.53
PyAF-3.0,TrainingTime,70,10.633
PyAF-3.0,TrainingTime,80,11.99
PyAF-3.0,TrainingTime,90,12.821
PyAF-3.0,TrainingTime,100,29.33
PyAF-4.0,L1,0,0.0
PyAF-4.0,L1,10,0.0124
PyAF-4.0,L1,20,0.0162
PyAF-4.0,L1,30,0.0207
PyAF-4.0,L1,40,0.0257
PyAF-4.0,L1,50,0.0327
PyAF-4.0,L1,60,0.0414
PyAF-4.0,L1,70,0.0526
PyAF-4.0,L1,80,0.0724
PyAF-4.0,L1,90,0.114
PyAF-4.0,L1,100,751.7115
PyAF-4.0,L2,0,0.0
PyAF-4.0,L2,10,0.0161
PyAF-4.0,L2,20,0.0211
PyAF-4.0,L2,30,0.0265
PyAF-4.0,L2,40,0.0331
PyAF-4.0,L2,50,0.0408
PyAF-4.0,L2,60,0.0512
PyAF-4.0,L2,70,0.0645
PyAF-4.0,L2,80,0.0891
PyAF-4.0,L2,90,0.1413
PyAF-4.0,L2,100,875.4214
PyAF-4.0,MAPE,0,0.0
PyAF-4.0,MAPE,10,0.9313
PyAF-4.0,MAPE,20,0.9827
PyAF-4.0,MAPE,30,0.9972
PyAF-4.0,MAPE,40,1.0022
PyAF-4.0,MAPE,50,1.015
PyAF-4.0,MAPE,60,1.0563
PyAF-4.0,MAPE,70,1.1511
PyAF-4.0,MAPE,80,1.7989
PyAF-4.0,MAPE,90,31390.1447
PyAF-4.0,MAPE,100,186075404.0611
PyAF-4.0,SMAPE,0,0.0
PyAF-4.0,SMAPE,10,1.4989
PyAF-4.0,SMAPE,20,1.6696
PyAF-4.0,SMAPE,30,1.7581
PyAF-4.0,SMAPE,40,1.8253
PyAF-4.0,SMAPE,50,1.8715
PyAF-4.0,SMAPE,60,1.9043
PyAF-4.0,SMAPE,70,1.9364
PyAF-4.0,SMAPE,80,1.9615
PyAF-4.0,SMAPE,90,1.9811
PyAF-4.0,SMAPE,100,2.0
PyAF-4.0,MASE,0,0.0
PyAF-4.0,MASE,10,0.5939
PyAF-4.0,MASE,20,0.6319
PyAF-4.0,MASE,30,0.6587
PyAF-4.0,MASE,40,0.6786
PyAF-4.0,MASE,50,0.6972
PyAF-4.0,MASE,60,0.7225
PyAF-4.0,MASE,70,0.7459
PyAF-4.0,MASE,80,0.7937
PyAF-4.0,MASE,90,0.9038
PyAF-4.0,MASE,100,155.8889
PyAF-4.0,TrainingTime,0,2.24
PyAF-4.0,TrainingTime,10,2.41
PyAF-4.0,TrainingTime,20,2.74
PyAF-4.0,TrainingTime,30,3.09
PyAF-4.0,TrainingTime,40,3.41
PyAF-4.0,TrainingTime,50,3.53
PyAF-4.0,TrainingTime,60,3.98
PyAF-4.0,TrainingTime,70,6.5
PyAF-4.0,TrainingTime,80,8.27
PyAF-4.0,TrainingTime,90,9.14
PyAF-4.0,TrainingTime,100,27.11
PyAF-5.0,L1,0,0.0
PyAF-5.0,L1,10,0.0121
PyAF-5.0,L1,20,0.0161
PyAF-5.0,L1,30,0.0205
PyAF-5.0,L1,40,0.0253
PyAF-5.0,L1,50,0.0319
PyAF-5.0,L1,60,0.0421
PyAF-5.0,L1,70,0.055
PyAF-5.0,L1,80,0.0761
PyAF-5.0,L1,90,0.1222
PyAF-5.0,L1,100,240113.3365
PyAF-5.0,L2,0,0.0
PyAF-5.0,L2,10,0.016
PyAF-5.0,L2,20,0.021
PyAF-5.0,L2,30,0.0258
PyAF-5.0,L2,40,0.0328
PyAF-5.0,L2,50,0.0408
PyAF-5.0,L2,60,0.0523
PyAF-5.0,L2,70,0.0676
PyAF-5.0,L2,80,0.0912
PyAF-5.0,L2,90,0.15
PyAF-5.0,L2,100,297876.6453
PyAF-5.0,MAPE,0,0.0
PyAF-5.0,MAPE,10,0.9274
PyAF-5.0,MAPE,20,0.9793
PyAF-5.0,MAPE,30,0.999
PyAF-5.0,MAPE,40,1.0113
PyAF-5.0,MAPE,50,1.0386
PyAF-5.0,MAPE,60,1.0896
PyAF-5.0,MAPE,70,1.2196
PyAF-5.0,MAPE,80,1.7758
PyAF-5.0,MAPE,90,60993.3982
PyAF-5.0,MAPE,100,5277821.0059
PyAF-5.0,SMAPE,0,0.0
PyAF-5.0,SMAPE,10,1.4169
PyAF-5.0,SMAPE,20,1.5743
PyAF-5.0,SMAPE,30,1.6785
PyAF-5.0,SMAPE,40,1.7579
PyAF-5.0,SMAPE,50,1.8076
PyAF-5.0,SMAPE,60,1.8491
PyAF-5.0,SMAPE,70,1.8788
PyAF-5.0,SMAPE,80,1.9113
PyAF-5.0,SMAPE,90,1.9515
PyAF-5.0,SMAPE,100,2.0
PyAF-5.0,MASE,0,0.0
PyAF-5.0,MASE,10,0.6029
PyAF-5.0,MASE,20,0.6365
PyAF-5.0,MASE,30,0.6619
PyAF-5.0,MASE,40,0.6833
PyAF-5.0,MASE,50,0.7009
PyAF-5.0,MASE,60,0.7258
PyAF-5.0,MASE,70,0.7541
PyAF-5.0,MASE,80,0.804
PyAF-5.0,MASE,90,0.9449
PyAF-5.0,MASE,100,1628178.5505
PyAF-5.0,TrainingTime,0,4.15
PyAF-5.0,TrainingTime,10,8.28
PyAF-5.0,TrainingTime,20,9.82
PyAF-5.0,TrainingTime,30,14.98
PyAF-5.0,TrainingTime,40,18.85
PyAF-5.0,TrainingTime,50,23.735
PyAF-5.0,TrainingTime,60,29.006
PyAF-5.0,TrainingTime,70,70.784
PyAF-5.0,TrainingTime,80,100.326
PyAF-5.0,TrainingTime,90,125.257
PyAF-5.0,TrainingTime,100,466.33
